"","bearyear.sampled","Bear.Id","Year","Follicles","Cortisol.kit","year.sampled","year.represent","bearyear.represent","sex","age","reprostatus.represent","CORT_corrected","fFOL"
"996","W9401_2003","W9401",2003,1,1,2003,2002,"W9401_2002","M",10,"SolitaryM",3.96,"1"
"997","W9402_1994","W9402",1994,1,1,1994,1993,"W9402_1993","F",1,"WithMother",4.36,"1"
"998","W9402_1995","W9402",1995,2,1,1995,1994,"W9402_1994","F",2,"SolitaryF",4.8,"2"
"999","W9402_1997","W9402",1997,0,1,1997,1996,"W9402_1996","F",4,"SolitaryF",2.31,"0"
"1000","W9403_1994","W9403",1994,1,1,1994,1993,"W9403_1993","F",1,"WithMother",4.39,"1"
"1001","W9403_1996","W9403",1996,1,1,1996,1995,"W9403_1995","F",3,"SolitaryF",3.6,"1"
"1002","W9403_1997","W9403",1997,0,1,1997,1996,"W9403_1996","F",4,"SolitaryF",2.19,"0"
"1003","W9403_2000","W9403",2000,2,1,2000,1999,"W9403_1999","F",7,"WithCubs",3.94,"2"
"1005","W9403_2004","W9403",2004,2,1,2004,2003,"W9403_2003","F",11,"SolitaryF",2.95,"2"
"1006","W9403_2006","W9403",2006,1,2,2006,2005,"W9403_2005","F",13,"WithCubs",6.37,"1"
"1007","W9403_2007","W9403",2007,2,1,2007,2006,"W9403_2006","F",14,"WithCubs",4.27,"2"
"1008","W9403_2009","W9403",2009,2,2,2009,2008,"W9403_2008","F",16,"WithCubs",8.18,"2"
"1009","W9403_2010","W9403",2010,2,2,2010,2009,"W9403_2009","F",17,"WithCubs",7.72,"2"
"1010","W9403_2012","W9403",2012,2,2,2012,2011,"W9403_2011","F",19,"SolitaryF",5.52,"2"
"1011","W9403_2013","W9403",2013,2,2,2013,2012,"W9403_2012","F",20,"WithCubs",5.69,"2"
"1014","W9404_1996","W9404",1996,2,1,1996,1995,"W9404_1995","F",3,"SolitaryF",3.14,"2"
"1015","W9404_1997","W9404",1997,0,1,1997,1996,"W9404_1996","F",4,"SolitaryF",2.67,"0"
"1016","W9404_1999","W9404",1999,2,1,1999,1998,"W9404_1998","F",6,"WithCubs",4.33,"2"
"1018","W9404_2004","W9404",2004,2,1,2004,2003,"W9404_2003","F",11,"SolitaryF",2.73,"2"
"1019","W9406_1994","W9406",1994,1,1,1994,1993,"W9406_1993","F",1,"WithMother",3.64,"1"
"1020","W9407_1995","W9407",1995,1,1,1995,1994,"W9407_1994","M",2,"SolitaryM",3.91,"1"
"1021","W9407_1996","W9407",1996,1,1,1996,1995,"W9407_1995","M",3,"SolitaryM",3.58,"1"
"1022","W9408_1994","W9408",1994,1,1,1994,1993,"W9408_1993","F",1,"WithMother",3.64,"1"
"1023","W9502_1995","W9502",1995,0,1,1995,1994,"W9502_1994","F",1,"WithMother",3.54,"0"
"1024","W9502_1998","W9502",1998,0,1,1998,1997,"W9502_1997","F",4,"SolitaryF",2.96,"0"
"1025","W9502_2000","W9502",2000,2,1,2000,1999,"W9502_1999","F",6,"WithCubs",3.87,"2"
"1027","W9502_2004","W9502",2004,1,1,2004,2003,"W9502_2003","F",10,"WithCubs",4.62,"1"
"1028","W9503_1995","W9503",1995,0,1,1995,1994,"W9503_1994","F",1,"WithMother",3.92,"0"
"1029","W9503_1996","W9503",1996,1,1,1996,1995,"W9503_1995","F",2,"SolitaryF",4.56,"1"
"1030","W9503_1998","W9503",1998,0,1,1998,1997,"W9503_1997","F",4,"SolitaryF",2.62,"0"
"1031","W9504_1995","W9504",1995,0,1,1995,1994,"W9504_1994","F",1,"WithMother",4.05,"0"
