"","bearyear.sampled","Bear.Id","Year","Follicles","Cortisol.kit","year.sampled","year.represent","bearyear.represent","sex","age","reprostatus.represent","CORT_corrected","fFOL"
"443","W0806_2011","W0806",2011,2,2,2011,2010,"W0806_2010","F",4,"SolitaryF",9.63,"2"
"444","W0806_2012","W0806",2012,1,2,2012,2011,"W0806_2011","F",5,"SolitaryF",6.74,"1"
"445","W0806_2013","W0806",2013,0,2,2013,2012,"W0806_2012","F",6,"SolitaryF",6.16,"0"
"449","W0808_2009","W0808",2009,2,2,2009,2008,"W0808_2008","M",2,"WithMother",8.41,"2"
"451","W0809_2009","W0809",2009,1,2,2009,2008,"W0809_2008","M",2,"WithMother",6.65,"1"
"453","W0810_2009","W0810",2009,2,2,2009,2008,"W0810_2008","M",2,"WithMother",8.09,"2"
"454","W0810_2010","W0810",2010,2,2,2010,2009,"W0810_2009","M",3,"SolitaryM",5.69,"2"
"455","W0810_2011","W0810",2011,1,2,2011,2010,"W0810_2010","M",4,"SolitaryM",4.86,"1"
"457","W0811_2009","W0811",2009,2,2,2009,2008,"W0811_2008","M",2,"WithMother",9.97,"2"
"458","W0811_2010","W0811",2010,2,2,2010,2009,"W0811_2009","M",3,"SolitaryM",4.38,"2"
"459","W0811_2011","W0811",2011,2,2,2011,2010,"W0811_2010","M",4,"SolitaryM",5.75,"2"
"460","W0811_2012","W0811",2012,1,2,2012,2011,"W0811_2011","M",5,"SolitaryM",5.01,"1"
"461","W0811_2013","W0811",2013,1,2,2013,2012,"W0811_2012","M",6,"SolitaryM",4.78,"1"
"463","W0812_2009","W0812",2009,2,2,2009,2008,"W0812_2008","M",2,"WithMother",11.08,"2"
"464","W0812_2010","W0812",2010,2,2,2010,2009,"W0812_2009","M",3,"SolitaryM",5.35,"2"
"465","W0812_2011","W0812",2011,2,2,2011,2010,"W0812_2010","M",4,"SolitaryM",9.64,"2"
"466","W0812_2012","W0812",2012,1,2,2012,2011,"W0812_2011","M",5,"SolitaryM",3.98,"1"
"467","W0812_2013","W0812",2013,1,2,2013,2012,"W0812_2012","M",6,"SolitaryM",5.16,"1"
"468","W0813_2009","W0813",2009,2,2,2009,2008,"W0813_2008","F",2,"SolitaryF",11.15,"2"
"470","W0814_2009","W0814",2009,2,2,2009,2008,"W0814_2008","F",2,"SolitaryF",10.48,"2"
"475","W0818_2009","W0818",2009,2,2,2009,2008,"W0818_2008","F",2,"SolitaryF",9.59,"2"
"476","W0818_2011","W0818",2011,2,2,2011,2010,"W0818_2010","F",4,"SolitaryF",6.11,"2"
"477","W0818_2012","W0818",2012,1,2,2012,2011,"W0818_2011","F",5,"SolitaryF",6.01,"1"
"478","W0818_2013","W0818",2013,2,2,2013,2012,"W0818_2012","F",6,"SolitaryF",3.8,"2"
"480","W0818_2016","W0818",2016,0,2,2016,2015,"W0818_2015","F",9,"SolitaryF",7.11,"0"
"484","W0820_2009","W0820",2009,1,2,2009,2008,"W0820_2008","F",2,"SolitaryF",12.95,"1"
"485","W0820_2010","W0820",2010,2,2,2010,2009,"W0820_2009","F",3,"SolitaryF",12.34,"2"
"486","W0820_2011","W0820",2011,2,2,2011,2010,"W0820_2010","F",4,"SolitaryF",7.69,"2"
"487","W0820_2012","W0820",2012,2,2,2012,2011,"W0820_2011","F",5,"SolitaryF",4.79,"2"
"492","W0824_2009","W0824",2009,2,2,2009,2008,"W0824_2008","M",2,"SolitaryM",6.89,"2"
"493","W0824_2011","W0824",2011,2,2,2011,2010,"W0824_2010","M",4,"SolitaryM",5.05,"2"
"495","W0825_2009","W0825",2009,2,2,2009,2008,"W0825_2008","F",2,"SolitaryF",15.36,"2"
"496","W0825_2012","W0825",2012,2,2,2012,2011,"W0825_2011","F",5,"SolitaryF",6.06,"2"
"497","W0825_2013","W0825",2013,2,2,2013,2012,"W0825_2012","F",6,"SolitaryF",7.38,"2"
"499","W0826_2010","W0826",2010,2,2,2010,2009,"W0826_2009","F",13,"WithCubs",10.04,"2"
"501","W0827_2009","W0827",2009,2,2,2009,2008,"W0827_2008","M",5,"SolitaryM",7.76,"2"
"502","W0827_2010","W0827",2010,2,2,2010,2009,"W0827_2009","M",6,"SolitaryM",4.1,"2"
"503","W0901_2009","W0901",2009,1,2,2009,2008,"W0901_2008","M",1,"WithMother",10.93,"1"
"504","W0901_2010","W0901",2010,1,2,2010,2009,"W0901_2009","M",2,"WithMother",4.56,"1"
"505","W0901_2011","W0901",2011,1,2,2011,2010,"W0901_2010","M",3,"SolitaryM",6.57,"1"
"506","W0902_2009","W0902",2009,0,2,2009,2008,"W0902_2008","M",1,"WithMother",7.92,"0"
"507","W0902_2010","W0902",2010,2,2,2010,2009,"W0902_2009","M",2,"WithMother",4.87,"2"
"508","W0902_2011","W0902",2011,1,2,2011,2010,"W0902_2010","M",3,"SolitaryM",4.12,"1"
"509","W0903_2009","W0903",2009,0,2,2009,2008,"W0903_2008","M",1,"WithMother",14.12,"0"
"510","W0903_2010","W0903",2010,1,2,2010,2009,"W0903_2009","M",2,"WithMother",4.85,"1"
"511","W0903_2011","W0903",2011,2,2,2011,2010,"W0903_2010","M",3,"SolitaryM",7.44,"2"
"512","W0904_2009","W0904",2009,0,2,2009,2008,"W0904_2008","F",1,"WithMother",10.68,"0"
"513","W0904_2010","W0904",2010,2,2,2010,2009,"W0904_2009","F",2,"WithMother",4.92,"2"
"514","W0904_2012","W0904",2012,2,2,2012,2011,"W0904_2011","F",4,"SolitaryF",4.39,"2"
"515","W0905_2009","W0905",2009,1,2,2009,2008,"W0905_2008","M",1,"WithMother",10.37,"1"
"516","W0906_2009","W0906",2009,1,2,2009,2008,"W0906_2008","M",1,"WithMother",11.67,"1"
"517","W0907_2009","W0907",2009,1,2,2009,2008,"W0907_2008","M",1,"WithMother",9.76,"1"
"518","W0907_2010","W0907",2010,2,2,2010,2009,"W0907_2009","M",2,"WithMother",6.46,"2"
"519","W0908_2009","W0908",2009,1,2,2009,2008,"W0908_2008","M",1,"WithMother",13,"1"
"520","W0908_2010","W0908",2010,1,2,2010,2009,"W0908_2009","M",2,"WithMother",5.52,"1"
"521","W0908_2012","W0908",2012,1,2,2012,2011,"W0908_2011","M",4,"SolitaryM",6.58,"1"
"522","W0908_2013","W0908",2013,1,2,2013,2012,"W0908_2012","M",5,"SolitaryM",4.57,"1"
"524","W0909_2009","W0909",2009,1,2,2009,2008,"W0909_2008","M",1,"WithMother",10.39,"1"
"525","W0909_2010","W0909",2010,1,2,2010,2009,"W0909_2009","M",2,"WithMother",6.74,"1"
"526","W0910_2009","W0910",2009,2,2,2009,2008,"W0910_2008","M",1,"WithMother",13.58,"2"
"527","W0910_2011","W0910",2011,2,2,2011,2010,"W0910_2010","M",3,"SolitaryM",8.35,"2"
"528","W0910_2012","W0910",2012,1,2,2012,2011,"W0910_2011","M",4,"SolitaryM",4.71,"1"
"529","W0910_2013","W0910",2013,2,2,2013,2012,"W0910_2012","M",5,"SolitaryM",2.75,"2"
"531","W0911_2009","W0911",2009,1,2,2009,2008,"W0911_2008","M",1,"WithMother",15.55,"1"
"532","W0912_2009","W0912",2009,2,2,2009,2008,"W0912_2008","M",1,"WithMother",9.24,"2"
"533","W0915_2009","W0915",2009,1,2,2009,2008,"W0915_2008","M",7,"SolitaryM",5.31,"1"
"534","W0916_2009","W0916",2009,2,2,2009,2008,"W0916_2008","M",4,"SolitaryM",7.77,"2"
"535","W0917_2009","W0917",2009,1,2,2009,2008,"W0917_2008","M",6,"SolitaryM",6.53,"1"
"536","W1001_2010","W1001",2010,2,2,2010,2009,"W1001_2009","M",10,"SolitaryM",11.11,"2"
"537","W1001_2011","W1001",2011,2,2,2011,2010,"W1001_2010","M",11,"SolitaryM",9.24,"2"
"538","W1002_2010","W1002",2010,2,2,2010,2009,"W1002_2009","M",1,"WithMother",7.2,"2"
"539","W1003_2010","W1003",2010,2,2,2010,2009,"W1003_2009","M",1,"WithMother",6.64,"2"
"540","W1004_2010","W1004",2010,1,2,2010,2009,"W1004_2009","M",1,"WithMother",11.82,"1"
"541","W1005_2010","W1005",2010,2,2,2010,2009,"W1005_2009","M",1,"WithMother",11.77,"2"
"542","W1005_2011","W1005",2011,2,2,2011,2010,"W1005_2010","M",2,"WithMother",7.11,"2"
"543","W1006_2010","W1006",2010,2,2,2010,2009,"W1006_2009","F",1,"WithMother",9.59,"2"
"544","W1006_2011","W1006",2011,2,2,2011,2010,"W1006_2010","F",2,"WithMother",7.84,"2"
"545","W1007_2010","W1007",2010,2,2,2010,2009,"W1007_2009","M",1,"WithMother",8.89,"2"
"546","W1008_2010","W1008",2010,2,2,2010,2009,"W1008_2009","M",1,"WithMother",8.96,"2"
"547","W1009_2010","W1009",2010,2,2,2010,2009,"W1009_2009","F",1,"WithMother",12.87,"2"
"548","W1010_2010","W1010",2010,0,2,2010,2009,"W1010_2009","M",1,"WithMother",9.38,"0"
"549","W1010_2012","W1010",2012,1,2,2012,2011,"W1010_2011","M",3,"SolitaryM",7.16,"1"
"550","W1011_2010","W1011",2010,1,2,2010,2009,"W1011_2009","F",1,"WithMother",8.78,"1"
"551","W1011_2013","W1011",2013,1,2,2013,2012,"W1011_2012","F",4,"SolitaryF",4.34,"1"
"555","W1012_2010","W1012",2010,1,2,2010,2009,"W1012_2009","M",1,"WithMother",10.2,"1"
"556","W1013_2010","W1013",2010,2,2,2010,2009,"W1013_2009","M",1,"WithMother",6.32,"2"
"557","W1014_2010","W1014",2010,1,2,2010,2009,"W1014_2009","M",1,"WithMother",10.27,"1"
"558","W1015_2010","W1015",2010,1,2,2010,2009,"W1015_2009","M",1,"WithMother",9.34,"1"
"559","W1016_2010","W1016",2010,1,2,2010,2009,"W1016_2009","M",1,"WithMother",6.9,"1"
"560","W1017_2010","W1017",2010,1,2,2010,2009,"W1017_2009","F",1,"WithMother",7.9,"1"
"561","W1017_2013","W1017",2013,1,2,2013,2012,"W1017_2012","F",4,"SolitaryF",4.93,"1"
"563","W1017_2016","W1017",2016,0,2,2016,2015,"W1017_2015","F",7,"WithCubs",8.51,"0"
"566","W1019_2010","W1019",2010,2,2,2010,2009,"W1019_2009","M",6,"SolitaryM",5.01,"2"
"567","W1019_2011","W1019",2011,2,2,2011,2010,"W1019_2010","M",7,"SolitaryM",7.21,"2"
"568","W1019_2012","W1019",2012,0,2,2012,2011,"W1019_2011","M",8,"SolitaryM",6.69,"0"
"569","W1020_2010","W1020",2010,1,2,2010,2009,"W1020_2009","M",6,"SolitaryM",3.42,"1"
"570","W1020_2011","W1020",2011,2,2,2011,2010,"W1020_2010","M",7,"SolitaryM",7.71,"2"
"571","W1101_2011","W1101",2011,2,2,2011,2010,"W1101_2010","M",1,"WithMother",8.52,"2"
"572","W1102_2011","W1102",2011,2,2,2011,2010,"W1102_2010","M",1,"WithMother",8.12,"2"
"573","W1103_2011","W1103",2011,2,2,2011,2010,"W1103_2010","M",1,"WithMother",8.1,"2"
"574","W1103_2012","W1103",2012,1,2,2012,2011,"W1103_2011","M",2,"SolitaryM",4.25,"1"
"575","W1103_2013","W1103",2013,0,2,2013,2012,"W1103_2012","M",3,"SolitaryM",1.87,"0"
"576","W1104_2011","W1104",2011,1,2,2011,2010,"W1104_2010","F",1,"WithMother",10.2,"1"
"577","W1105_2011","W1105",2011,1,2,2011,2010,"W1105_2010","F",1,"WithMother",9.67,"1"
"579","W1106_2011","W1106",2011,1,2,2011,2010,"W1106_2010","F",1,"WithMother",14.14,"1"
"580","W1107_2011","W1107",2011,0,2,2011,2010,"W1107_2010","M",1,"WithMother",9.8,"0"
"581","W1108_2011","W1108",2011,0,2,2011,2010,"W1108_2010","M",1,"WithMother",13.37,"0"
"582","W1109_2011","W1109",2011,1,2,2011,2010,"W1109_2010","M",1,"WithMother",11.99,"1"
"583","W1110_2011","W1110",2011,1,2,2011,2010,"W1110_2010","F",1,"WithMother",12.01,"1"
"585","W1110_2015","W1110",2015,0,2,2015,2014,"W1110_2014","F",5,"SolitaryF",4.7,"0"
"586","W1110_2016","W1110",2016,2,2,2016,2015,"W1110_2015","F",6,"SolitaryF",7.51,"2"
"588","W1111_2011","W1111",2011,2,2,2011,2010,"W1111_2010","F",1,"WithMother",11.45,"2"
"589","W1112_2011","W1112",2011,1,2,2011,2010,"W1112_2010","F",1,"WithMother",10.33,"1"
"590","W1112_2016","W1112",2016,0,2,2016,2015,"W1112_2015","F",6,"WithCubs",7.77,"0"
"591","W1113_2011","W1113",2011,1,2,2011,2010,"W1113_2010","M",1,"WithMother",12.07,"1"
"592","W1114_2011","W1114",2011,1,2,2011,2010,"W1114_2010","F",1,"WithMother",10.81,"1"
"593","W1201_2012","W1201",2012,1,2,2012,2011,"W1201_2011","M",3,"SolitaryM",2.16,"1"
"596","W1203_2013","W1203",2013,0,2,2013,2012,"W1203_2012","F",5,"SolitaryF",3.11,"0"
"598","W1203_2016","W1203",2016,0,2,2016,2015,"W1203_2015","F",8,"WithCubs",7.05,"0"
"603","W1204_2012","W1204",2012,1,2,2012,2011,"W1204_2011","M",1,"WithMother",11.18,"1"
"606","W1205_2012","W1205",2012,0,2,2012,2011,"W1205_2011","F",1,"WithMother",10.08,"0"
"607","W1205_2013","W1205",2013,1,2,2013,2012,"W1205_2012","F",2,"WithMother",2.43,"1"
"609","W1205_2015","W1205",2015,0,2,2015,2014,"W1205_2014","F",4,"SolitaryF",6.26,"0"
"613","W1206_2012","W1206",2012,1,2,2012,2011,"W1206_2011","F",1,"WithMother",9.33,"1"
"614","W1206_2013","W1206",2013,0,2,2013,2012,"W1206_2012","F",2,"WithMother",3.88,"0"
"616","W1206_2015","W1206",2015,0,2,2015,2014,"W1206_2014","F",4,"SolitaryF",6.33,"0"
"617","W1206_2016","W1206",2016,2,2,2016,2015,"W1206_2015","F",5,"SolitaryF",4.64,"2"
"619","W1207_2012","W1207",2012,1,2,2012,2011,"W1207_2011","M",1,"WithMother",10.11,"1"
"620","W1208_2012","W1208",2012,2,2,2012,2011,"W1208_2011","M",3,"SolitaryM",7.23,"2"
"621","W1209_2012","W1209",2012,1,2,2012,2011,"W1209_2011","F",1,"WithMother",9.71,"1"
"622","W1209_2016","W1209",2016,0,2,2016,2015,"W1209_2015","F",5,"SolitaryF",8.57,"0"
"625","W1210_2013","W1210",2013,2,2,2013,2012,"W1210_2012","M",5,"SolitaryM",7.01,"2"
"627","W1211_2013","W1211",2013,1,2,2013,2012,"W1211_2012","M",13,"SolitaryM",10.43,"1"
"629","W1301_2013","W1301",2013,2,2,2013,2012,"W1301_2012","M",1,"WithMother",8.03,"2"
"631","W1302_2013","W1302",2013,1,2,2013,2012,"W1302_2012","M",1,"WithMother",9.64,"1"
"633","W1303_2013","W1303",2013,1,2,2013,2012,"W1303_2012","F",1,"WithMother",7.66,"1"
"635","W1304_2013","W1304",2013,1,2,2013,2012,"W1304_2012","F",1,"WithMother",12.79,"1"
"637","W1304_2016","W1304",2016,0,2,2016,2015,"W1304_2015","F",4,"SolitaryF",7.32,"0"
"642","W1305_2013","W1305",2013,1,2,2013,2012,"W1305_2012","F",1,"WithMother",9.81,"1"
"644","W1305_2016","W1305",2016,0,2,2016,2015,"W1305_2015","F",4,"SolitaryF",6.98,"0"
"645","W1306_2013","W1306",2013,2,2,2013,2012,"W1306_2012","M",1,"WithMother",8.84,"2"
"646","W1307_2013","W1307",2013,1,2,2013,2012,"W1307_2012","M",1,"WithMother",12.35,"1"
"648","W1308_2013","W1308",2013,2,2,2013,2012,"W1308_2012","M",1,"WithMother",11.34,"2"
"650","W1309_2013","W1309",2013,0,2,2013,2012,"W1309_2012","F",1,"WithMother",10.79,"0"
"651","W1310_2013","W1310",2013,1,2,2013,2012,"W1310_2012","F",1,"WithMother",9.72,"1"
"655","W1311_2013","W1311",2013,0,2,2013,2012,"W1311_2012","F",1,"WithMother",6.95,"0"
"659","W1312_2013","W1312",2013,1,2,2013,2012,"W1312_2012","M",5,"SolitaryM",8.82,"1"
"662","W1314_2013","W1314",2013,0,2,2013,2012,"W1314_2012","M",4,"SolitaryM",5.14,"0"
"664","W1315_2013","W1315",2013,1,2,2013,2012,"W1315_2012","F",1,"WithMother",8.01,"1"
"665","W1316_2013","W1316",2013,1,2,2013,2012,"W1316_2012","M",1,"WithMother",9.81,"1"
"667","W1317_2013","W1317",2013,1,2,2013,2012,"W1317_2012","M",1,"WithMother",7.77,"1"
"669","W1318_2013","W1318",2013,1,2,2013,2012,"W1318_2012","M",8,"SolitaryM",4.89,"1"
"671","W1319_2016","W1319",2016,0,2,2016,2015,"W1319_2015","F",7,"WithCubs",10.22,"0"
"674","W1320_2012","W1320",2012,1,2,2012,2011,"W1320_2011","M",5,"SolitaryM",5.54,"1"
"683","W1408_2016","W1408",2016,1,2,2016,2015,"W1408_2015","F",3,"SolitaryF",5.18,"1"
"724","W1614_2016","W1614",2016,0,2,2016,2015,"W1614_2015","F",1,"WithMother",13.02,"0"
"874","W8607_1997","W8607",1997,0,1,1997,1996,"W8607_1996","M",26,"SolitaryM",3.35,"0"
"875","W8607_2000","W8607",2000,1,1,2000,1999,"W8607_1999","M",29,"SolitaryM",2.92,"1"
"876","W8807_1990","W8807",1990,2,1,1990,1989,"W8807_1989","M",6,"SolitaryM",3.35,"2"
"877","W8807_1992","W8807",1992,2,1,1992,1991,"W8807_1991","M",8,"SolitaryM",3.35,"2"
"878","W8807_1995","W8807",1995,2,1,1995,1994,"W8807_1994","M",11,"SolitaryM",3.89,"2"
"879","W8807_1996","W8807",1996,0,1,1996,1995,"W8807_1995","M",12,"SolitaryM",4.62,"0"
"880","W8807_1998","W8807",1998,2,1,1998,1997,"W8807_1997","M",14,"SolitaryM",3.35,"2"
"881","W8807_2000","W8807",2000,2,1,2000,1999,"W8807_1999","M",16,"SolitaryM",3.93,"2"
"883","W8807_2004","W8807",2004,1,1,2004,2003,"W8807_2003","M",20,"SolitaryM",3.51,"1"
"884","W8808_1990","W8808",1990,2,1,1990,1989,"W8808_1989","F",9,"WithCubs",3.64,"2"
"885","W8808_1992","W8808",1992,2,1,1992,1991,"W8808_1991","F",11,"WithCubs",3.64,"2"
"886","W8808_1996","W8808",1996,0,1,1996,1995,"W8808_1995","F",15,"WithCubs",4.66,"0"
"887","W8808_1997","W8808",1997,0,1,1997,1996,"W8808_1996","F",16,"SolitaryF",2.37,"0"
"888","W8808_1999","W8808",1999,1,1,1999,1998,"W8808_1998","F",18,"WithCubs",5.07,"1"
"889","W8808_2003","W8808",2003,2,2,2003,2002,"W8808_2002","F",22,"WithCubs",7.81,"2"
"890","W8811_1992","W8811",1992,2,1,1992,1991,"W8811_1991","F",14,"WithCubs",3.64,"2"
"891","W8811_1996","W8811",1996,0,1,1996,1995,"W8811_1995","F",18,"WithCubs",5.15,"0"
"892","W8811_1997","W8811",1997,0,1,1997,1996,"W8811_1996","F",19,"WithCubs",3.51,"0"
"893","W8811_1999","W8811",1999,2,1,1999,1998,"W8811_1998","F",21,"SolitaryF",3.41,"2"
"894","W8904_1997","W8904",1997,0,1,1997,1996,"W8904_1996","F",10,"WithCubs",3.56,"0"
"895","W8904_2000","W8904",2000,2,1,2000,1999,"W8904_1999","F",13,"WithCubs",4.04,"2"
