,X,bearyear.sampled,Bear.ID,Year,Follicles,Cortisol.kit,year.sampled,year.represent,bearyear.represent,sex,age,Repro,HCC,fFOL,Zcort,Zage
642,1126,W9814_2004,W9814,2004,2,1,2004,2003,W9814_2003,F,7,Female with dependent offspring,3.81,2,-0.731054407,0.312863347
646,1130,W9901_1999,W9901,1999,2,1,1999,1998,W9901_1998,M,6,Solitary male,3.15,2,-0.916958305,0.114881788
647,1131,W9902_1999,W9902,1999,2,1,1999,1998,W9902_1998,F,1,Offspring accompanying mother,3.24,2,-0.891607773,-0.875026006
648,1133,W9903_2005,W9903,2005,0,1,2005,2004,W9903_2004,F,8,Female with dependent offspring,6.47,0,0.018194638,0.510844906
650,1138,W9904_1999,W9904,1999,0,1,1999,1998,W9904_1998,F,5,Female with dependent offspring,2.85,0,-1.001460077,-0.083099771
651,1139,W9905_1999,W9905,1999,2,1,1999,1998,W9905_1998,F,1,Offspring accompanying mother,3.01,2,-0.956392465,-0.875026006
652,1140,W9907_1999,W9907,1999,2,1,1999,1998,W9907_1998,M,1,Offspring accompanying mother,2.68,2,-1.049344414,-0.875026006
653,1142,W9908_1999,W9908,1999,2,1,1999,1998,W9908_1998,F,1,Offspring accompanying mother,4.13,2,-0.640919183,-0.875026006
654,1143,W9908_2000,W9908,2000,2,1,2000,1999,W9908_1999,F,2,Solitary female,3.3,2,-0.874707419,-0.677044447
658,1147,W9910_1999,W9910,1999,1,1,1999,1998,W9910_1998,F,1,Offspring accompanying mother,4.37,1,-0.573317766,-0.875026006
659,1148,W9911_1999,W9911,1999,2,1,1999,1998,W9911_1998,F,1,Offspring accompanying mother,4.42,2,-0.559234137,-0.875026006
660,1149,W9912_1999,W9912,1999,2,1,1999,1998,W9912_1998,F,1,Offspring accompanying mother,4.31,2,-0.59021812,-0.875026006
661,1150,W9913_1999,W9913,1999,2,1,1999,1998,W9913_1998,F,1,Offspring accompanying mother,4.17,2,-0.62965228,-0.875026006
662,1152,W9913_2004,W9913,2004,2,1,2004,2003,W9913_2003,F,6,Female with dependent offspring,2.7,2,-1.043710963,0.114881788
663,1153,W9913_2006,W9913,2006,2,1,2006,2005,W9913_2005,F,8,Female with dependent offspring,4.64,2,-0.497266171,0.510844906
664,1154,W9914_1999,W9914,1999,1,1,1999,1998,W9914_1998,F,1,Offspring accompanying mother,4.26,1,-0.604301749,-0.875026006
665,1156,W9914_2006,W9914,2006,2,1,2006,2005,W9914_2005,F,8,Female with dependent offspring,3.75,2,-0.747954761,0.510844906
668,1159,W9915_1999,W9915,1999,2,1,1999,1998,W9915_1998,M,1,Offspring accompanying mother,2.96,2,-0.970476094,-0.875026006
669,1160,W9916_1999,W9916,1999,2,1,1999,1998,W9916_1998,M,5,Solitary male,1.79,2,-1.300033004,-0.083099771
670,1164,W9917_1999,W9917,1999,1,1,1999,1998,W9917_1998,M,4,Solitary male,3.08,1,-0.936675385,-0.28108133
671,1165,W9918_1999,W9918,1999,2,1,1999,1998,W9918_1998,M,1,Offspring accompanying mother,3.87,2,-0.714154052,-0.875026006
672,1166,W9918_2000,W9918,2000,2,1,2000,1999,W9918_1999,M,2,Solitary male,4.38,2,-0.57050104,-0.677044447
673,1167,W9918_2001,W9918,2001,2,1,2001,2000,W9918_2000,M,3,Solitary male,3.43,2,-0.838089984,-0.479062889
674,1169,W9919_1999,W9919,1999,2,1,1999,1998,W9919_1998,F,1,Offspring accompanying mother,4.24,2,-0.6099352,-0.875026006
675,1170,W9920_1999,W9920,1999,2,1,1999,1998,W9920_1998,M,1,Offspring accompanying mother,3.27,2,-0.883157596,-0.875026006
676,1171,W9920_2000,W9920,2000,1,1,2000,1999,W9920_1999,M,2,Solitary male,5.23,1,-0.331079353,-0.677044447
677,1172,W9921_1999,W9921,1999,2,1,1999,1998,W9921_1998,M,8,Solitary male,2.45,2,-1.114129106,0.510844906
678,1173,W9921_2000,W9921,2000,2,1,2000,1999,W9921_1999,M,9,Solitary male,2.95,2,-0.973292819,0.708826465
679,1174,W9921_2000,W9921,2000,2,1,2000,1999,W9921_1999,M,9,Solitary male,3.46,2,-0.829639807,0.708826465
