,X,bearyear.sampled,Bear.ID,Year,Follicles,Cortisol.kit,year.sampled,year.represent,bearyear.represent,sex,age,Repro,HCC,fFOL,Zcort,Zage
272,464,W0812_2010,W0812,2010,2,2,2010,2009,W0812_2009,M,3,Solitary male,5.35,2,-0.297278644,-0.479062889
273,465,W0812_2011,W0812,2011,2,2,2011,2010,W0812_2010,M,4,Solitary male,9.64,2,0.911096694,-0.28108133
274,466,W0812_2012,W0812,2012,1,2,2012,2011,W0812_2011,M,5,Solitary male,3.98,1,-0.683170069,-0.083099771
275,467,W0812_2013,W0812,2013,1,2,2013,2012,W0812_2012,M,6,Solitary male,5.16,1,-0.350796433,0.114881788
276,468,W0813_2009,W0813,2009,2,2,2009,2008,W0813_2008,F,2,Solitary female,11.15,2,1.33642228,-0.677044447
277,470,W0814_2009,W0814,2009,2,2,2009,2008,W0814_2008,F,2,Solitary female,10.48,2,1.147701656,-0.677044447
278,475,W0818_2009,W0818,2009,2,2,2009,2008,W0818_2008,F,2,Solitary female,9.59,2,0.897013066,-0.677044447
279,476,W0818_2011,W0818,2011,2,2,2011,2010,W0818_2010,F,4,Solitary female,6.11,2,-0.083207489,-0.28108133
280,477,W0818_2012,W0818,2012,1,2,2012,2011,W0818_2011,F,5,Solitary female,6.01,1,-0.111374746,-0.083099771
281,478,W0818_2013,W0818,2013,2,2,2013,2012,W0818_2012,F,6,Solitary female,3.8,2,-0.733871132,0.114881788
282,480,W0818_2016,W0818,2016,0,2,2016,2015,W0818_2015,F,9,Solitary female,7.11,0,0.198465085,0.708826465
283,484,W0820_2009,W0820,2009,1,2,2009,2008,W0820_2008,F,2,Solitary female,12.95,1,1.843432911,-0.677044447
284,485,W0820_2010,W0820,2010,2,2,2010,2009,W0820_2009,F,3,Solitary female,12.34,2,1.671612642,-0.479062889
285,486,W0820_2011,W0820,2011,2,2,2011,2010,W0820_2010,F,4,Solitary female,7.69,2,0.361835177,-0.28108133
286,487,W0820_2012,W0820,2012,2,2,2012,2011,W0820_2011,F,5,Solitary female,4.79,2,-0.455015285,-0.083099771
287,492,W0824_2009,W0824,2009,2,2,2009,2008,W0824_2008,M,2,Solitary male,6.89,2,0.136497118,-0.677044447
288,493,W0824_2011,W0824,2011,2,2,2011,2010,W0824_2010,M,4,Solitary male,5.05,2,-0.381780416,-0.28108133
289,495,W0825_2009,W0825,2009,2,2,2009,2008,W0825_2008,F,2,Solitary female,15.36,2,2.522263813,-0.677044447
290,496,W0825_2012,W0825,2012,2,2,2012,2011,W0825_2011,F,5,Solitary female,6.06,2,-0.097291117,-0.083099771
291,497,W0825_2013,W0825,2013,2,2,2013,2012,W0825_2012,F,6,Solitary female,7.38,2,0.274516679,0.114881788
293,501,W0827_2009,W0827,2009,2,2,2009,2008,W0827_2008,M,5,Solitary male,7.76,2,0.381552257,-0.083099771
294,502,W0827_2010,W0827,2010,2,2,2010,2009,W0827_2009,M,6,Solitary male,4.1,2,-0.64936936,0.114881788
295,503,W0901_2009,W0901,2009,1,2,2009,2008,W0901_2008,M,1,Offspring accompanying mother,10.93,1,1.274454314,-0.875026006
296,504,W0901_2010,W0901,2010,1,2,2010,2009,W0901_2009,M,2,Offspring accompanying mother,4.56,1,-0.519799977,-0.677044447
297,505,W0901_2011,W0901,2011,1,2,2011,2010,W0901_2010,M,3,Solitary male,6.57,1,0.046361895,-0.479062889
298,506,W0902_2009,W0902,2009,0,2,2009,2008,W0902_2008,M,1,Offspring accompanying mother,7.92,0,0.426619869,-0.875026006
299,507,W0902_2010,W0902,2010,2,2,2010,2009,W0902_2009,M,2,Offspring accompanying mother,4.87,2,-0.432481479,-0.677044447
300,508,W0902_2011,W0902,2011,1,2,2011,2010,W0902_2010,M,3,Solitary male,4.12,1,-0.643735909,-0.479062889
301,509,W0903_2009,W0903,2009,0,2,2009,2008,W0903_2008,M,1,Offspring accompanying mother,14.12,0,2.172989822,-0.875026006
302,510,W0903_2010,W0903,2010,1,2,2010,2009,W0903_2009,M,2,Offspring accompanying mother,4.85,1,-0.438114931,-0.677044447
303,511,W0903_2011,W0903,2011,2,2,2011,2010,W0903_2010,M,3,Solitary male,7.44,2,0.291417034,-0.479062889
304,512,W0904_2009,W0904,2009,0,2,2009,2008,W0904_2008,F,1,Offspring accompanying mother,10.68,0,1.20403617,-0.875026006
